CityName,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Thompson,CA,75,1570745495,47,55.74,-97.86,37.4,8.05
Albany,US,20,1570745495,42,42.65,-73.75,64.99,9.17
Flinders,AU,75,1570745496,87,-34.58,150.85,57,5.82
Jamestown,AU,0,1570745496,76,-33.21,138.6,46.51,14.06
Kiama,AU,75,1570745496,87,-34.67,150.86,57,5.82
Kultuk,RU,50,1570745497,84,51.73,103.71,12.96,1.59
Bluff,AU,21,1570745497,83,-23.58,149.07,64.69,7.97
Kapaa,US,1,1570745497,66,22.08,-159.32,86,5.82
Qaanaaq,GL,64,1570745497,61,77.48,-69.36,27.01,10.31
Tiksi,RU,94,1570745498,92,71.64,128.87,15.35,3.64
Hobart,AU,75,1570745498,66,-42.88,147.33,50,4.7
Flin Flon,CA,75,1570745498,44,54.77,-101.88,37.4,6.93
Mahebourg,MU,75,1570745499,64,-20.41,57.7,73.4,12.75
Teguldet,RU,0,1570745499,63,57.31,88.17,26.37,7.75
